Binoculars;Binocular;Binocular;0;N/A;N/A;N/A;
Rangefinder;Binocular;Rangefinder;0;N/A;N/A;N/A;
Laser Designator (Sand);Binocular;Laserdesignator;0;N/A;N/A;N/A;
Laser Designator (Hex);Binocular;Laserdesignator_02;0;N/A;N/A;N/A;
Laser Designator (Olive);Binocular;Laserdesignator_03;0;N/A;N/A;N/A;
Vector 21 Nite;Binocular;CUP_Vector21Nite;0;N/A;N/A;N/A;
AN/PEQ-1 SOFLAM;Binocular;CUP_SOFLAM;0;N/A;N/A;N/A;
LRTV;Binocular;CUP_LRTV;0;N/A;N/A;N/A;
Laser Designator (Khaki);Binocular;Laserdesignator_01_khk_F;0;N/A;N/A;N/A;
Laser Designator (Green Hex);Binocular;Laserdesignator_02_ghex_F;0;N/A;N/A;N/A;
TR-8 Periscope;Binocular;rhs_tr8_periscope;0;N/A;N/A;N/A;
TR-8 Periscope (PIP);Binocular;rhs_tr8_periscope_pip;0;N/A;N/A;N/A;
PDU-4;Binocular;rhs_pdu4;0;N/A;N/A;N/A;
Lerca 1200 Rangefinder (Black);Binocular;rhsusf_bino_lerca_1200_black;0;N/A;N/A;N/A;
Lerca 1200 Rangefinder (Tan);Binocular;rhsusf_bino_lerca_1200_tan;0;N/A;N/A;N/A;
Lerca 1200 Rangefinder (Black);Binocular;lerca_1200_black;0;N/A;N/A;N/A;
Lerca 1200 Rangefinder (Tan);Binocular;lerca_1200_tan;0;N/A;N/A;N/A;
Vector 21-B;Binocular;rhsusf_bino_lrf_Vector21;0;N/A;N/A;N/A;
Vector 21-B;Binocular;rhsusf_lrf_Vector21;0;N/A;N/A;N/A;
M151 Spotting Scope;Binocular;rhsusf_bino_leopold_mk4;0;N/A;N/A;N/A;
M151 Spotting Scope;Binocular;Leupold_Mk4;0;N/A;N/A;N/A;
M24 Binoculars;Binocular;rhsusf_bino_m24;0;N/A;N/A;N/A;
M24 Binoculars (ARD);Binocular;rhsusf_bino_m24_ARD;0;N/A;N/A;N/A;
M24 Binoculars;Binocular;m24_bino;0;N/A;N/A;N/A;
M24 Binoculars (ARD);Binocular;m24_bino_ARD;0;N/A;N/A;N/A;
Vector 21 Nite;Binocular;CUP_Binocular_Vector;0;N/A;N/A;N/A;
AN/PEQ-1 SOFLAM;Binocular;CUP_Laserdesignator;0;N/A;N/A;N/A;
LRTV;Binocular;CUP_LRTV_ACR;0;N/A;N/A;N/A;
ZrakÂ RD-7J;Binocular;rhssaf_zrak_rd7j;0;N/A;N/A;N/A;
Watch;CommonItem;ItemWatch;2;N/A;N/A;N/A;
Compass;CommonItem;ItemCompass;2;N/A;N/A;N/A;
GPS;CommonItem;ItemGPS;8;N/A;N/A;N/A;
Radio;CommonItem;ItemRadio;8;N/A;N/A;N/A;
Map;CommonItem;ItemMap;2;N/A;N/A;N/A;
Mine Detector;CommonItem;MineDetector;20;N/A;N/A;N/A;
First Aid Kit;CommonItem;FirstAidKit;8;N/A;N/A;N/A;
Medikit;CommonItem;Medikit;80;N/A;N/A;N/A;
Toolkit;CommonItem;ToolKit;80;N/A;N/A;N/A;
UAV Terminal;CommonItem;UavTerminal_base;20;N/A;N/A;N/A;
UAV Terminal [NATO];CommonItem;B_UavTerminal;20;N/A;N/A;N/A;
UAV Terminal [CSAT];CommonItem;O_UavTerminal;20;N/A;N/A;N/A;
UAV Terminal [AAF];CommonItem;I_UavTerminal;20;N/A;N/A;N/A;
G3 bipod (body mount);CommonItem;CUP_bipod_G3;10;N/A;N/A;N/A;
G3SG1 bipod;CommonItem;CUP_bipod_G3SG1;10;N/A;N/A;N/A;
Bipod (Sand) [NATO];CommonItem;bipod_01_F_snd;10;N/A;N/A;N/A;
Bipod (Black) [NATO];CommonItem;bipod_01_F_blk;10;N/A;N/A;N/A;
Bipod (MTP) [NATO];CommonItem;bipod_01_F_mtp;10;N/A;N/A;N/A;
Bipod (Black) [CSAT];CommonItem;bipod_02_F_blk;10;N/A;N/A;N/A;
Bipod (Tan) [CSAT];CommonItem;bipod_02_F_tan;10;N/A;N/A;N/A;
Bipod (Hex) [CSAT];CommonItem;bipod_02_F_hex;10;N/A;N/A;N/A;
Bipod (Black) [AAF];CommonItem;bipod_03_F_blk;10;N/A;N/A;N/A;
Bipod (Olive) [AAF];CommonItem;bipod_03_F_oli;10;N/A;N/A;N/A;
Bipod (Khaki) [NATO];CommonItem;bipod_01_F_khk;10;N/A;N/A;N/A;
Exile Gas Mask;CommonItem;Exile_Headgear_GasMask;60;N/A;N/A;N/A;
Exile Security Helmet;CommonItem;Exile_Headgear_SafetyHelmet;10;N/A;N/A;N/A;
Exile Santa Hat;CommonItem;Exile_Headgear_SantaHat;10;N/A;N/A;N/A;
XM8;CommonItem;Exile_Item_XM8;2;N/A;N/A;N/A;
secondary_bipod_base;CommonItem;secondary_bipod_base;10;N/A;N/A;N/A;
Sound Suppressor (7.62 mm, Khaki);CommonItem;muzzle_snds_B_khk_F_secondary;12;N/A;N/A;N/A;
Sound Suppressor (7.62 mm, Sand);CommonItem;muzzle_snds_B_snd_F_secondary;12;N/A;N/A;N/A;
Sound Suppressor (6.5Â mm);CommonItem;muzzle_snds_h_secondary;10;N/A;N/A;N/A;
Sound Suppressor (6.5 mm, Khaki);CommonItem;muzzle_snds_h_khk_F_secondary;10;N/A;N/A;N/A;
Sound Suppressor (6.5 mm, Sand);CommonItem;muzzle_snds_h_snd_F_secondary;10;N/A;N/A;N/A;
Sound Suppressor LMG (6.5Â mm);CommonItem;muzzle_snds_H_SW_secondary;10;N/A;N/A;N/A;
Sound Suppressor LMG (6.5Â mm);CommonItem;muzzle_snds_H_MG_secondary;10;N/A;N/A;N/A;
Sound Suppressor LMG (6.5 mm, Black);CommonItem;muzzle_snds_H_MG_blk_F_secondary;10;N/A;N/A;N/A;
Sound Suppressor LMG (6.5 mm, Khaki);CommonItem;muzzle_snds_H_MG_khk_F_secondary;10;N/A;N/A;N/A;
Sound Suppressor (5.56 mm);CommonItem;muzzle_snds_M_secondary;8;N/A;N/A;N/A;
Sound Suppressor (5.56 mm, Khaki);CommonItem;muzzle_snds_m_khk_F_secondary;8;N/A;N/A;N/A;
Sound Suppressor (5.56 mm, Sand);CommonItem;muzzle_snds_m_snd_F_secondary;8;N/A;N/A;N/A;
Sound Suppressor (9Â mm);CommonItem;muzzle_snds_L_secondary;6;N/A;N/A;N/A;
Sound Suppressor (.45 ACP);CommonItem;muzzle_snds_acp_secondary;6;N/A;N/A;N/A;
Sound Suppressor (.338, Black);CommonItem;muzzle_snds_338_black_secondary;10;N/A;N/A;N/A;
